Process,Description,Legal Parent(s),Instances,User,Signatures,Suspicious Sign,Hunting Logic
System,"The NT Kernel (ntoskrnl.exe). Handles hardware abstraction, drivers, and kernel threads.",System Idle Process (0) OR None,One,SYSTEM,PID=4; Path=C:\Windows\System32\ntoskrnl.exe,PID!=4; Image Name is 'System.exe'; Parent!=0,"ProcessId!=4 OR ParentProcessId!=0 OR Image!=""*ntoskrnl.exe"""
smss.exe,"Session Manager. Sets up environment variables, handles virtual memory, and starts csrss/winlogon.",System (4),One (Master). Children allow transient existence.,SYSTEM,PID Parent=4; Path=C:\Windows\System32\smss.exe,Parent!=System(4); More than 1 instance running persistently; User!=SYSTEM,"ParentProcessId!=4 OR Image!=""*\\System32\\smss.exe"" OR User!=""*SYSTEM"""
csrss.exe,"Client/Server Runtime Subsystem. Critical user-mode subsystem. Manages console windows, shutdown, and threads.",Created by smss.exe (Logs); Parent appears 'Non-existent' (Live Triage),Two or more (Session 0 & Session 1),SYSTEM,Path=C:\Windows\System32\csrss.exe,Has an ACTIVE parent process; Path!=System32; User!=SYSTEM,"ParentImage!=""*\\smss.exe"" OR User!=""*SYSTEM"""
wininit.exe,"Windows Initialization. Launches services.exe, lsass.exe, and lsaiso.exe in Session 0.",Created by smss.exe (Logs); Parent appears 'Non-existent' (Live Triage),One,SYSTEM,"Path=C:\Windows\System32\wininit.exe; Spawns services.exe, lsass.exe",Has an ACTIVE parent process; Multiple instances; User!=SYSTEM,"ParentImage!=""*\\smss.exe"" OR User!=""*SYSTEM"""
services.exe,"Service Control Manager (SCM). Manages services, drivers, and updates 'LastKnownGood' config. Parent to svchost, spoolsv, msmpeng, dllhost.",wininit.exe,One,SYSTEM,Path=C:\Windows\System32\services.exe; Session=0,Parent!=wininit.exe; Multiple instances; User!=SYSTEM; Path!=System32,"ParentImage!=""*\\wininit.exe"" OR User!=""*SYSTEM"" OR Image!=""*\\System32\\services.exe"""
svchost.exe,Host Process for Windows Services. Loads DLLs specified in Registry (Parameters\ServiceDLL). Uses '-k' to group services.,services.exe,"Multiple (Many, Win10+ separates services if RAM > 3.5GB)",SYSTEM / NETWORK / LOCAL SERVICE,Path=C:\Windows\System32\svchost.exe; CmdLine includes '-k',Parent!=services.exe; No '-k' parameter; Path!=System32; Typo (scvhost.exe),"ParentImage!=""*\\services.exe"" OR Image!=""*\\System32\\svchost.exe"" OR CommandLine!=""*-k*"""
lsass.exe,"Local Security Authority. Enforces security policies, handles logins/tokens. #1 Target for Credential Dumping (Mimikatz).",wininit.exe,One,SYSTEM,Path=C:\Windows\System32\lsass.exe,Parent!=wininit.exe; Multiple instances; User!=SYSTEM; Path!=System32; Misspelled (e.g. Isass.exe),"ParentImage!=""*\\wininit.exe"" OR Image!=""*\\System32\\lsass.exe"" OR User!=""*SYSTEM"""
winlogon.exe,"Windows Logon. Handles SAS (Ctrl+Alt+Del), loads user profile. Guardians of the 'Shell' registry key.",Created by smss.exe (Logs); Parent appears 'Non-existent' (Live Triage),One (per session),SYSTEM,"Path=C:\Windows\System32\winlogon.exe; Spawns LogonUI.exe, userinit.exe","Has ACTIVE parent; User!=SYSTEM; Spawns cmd/powershell; Modified 'Userinit' Registry""","ParentImage!=""*\\smss.exe"" OR User!=""*SYSTEM"""
userinit.exe,User Initialization. Executes logon scripts and starts explorer.exe.,winlogon.exe,One per session (transient),Logged-on User,Path=C:\Windows\System32\userinit.exe; Starts explorer.exe.,Persistent existence (should terminate); Parent != winlogon.exe; Unexpected path.,"ParentImage!=""*\\winlogon.exe"" OR Image!=""*\\System32\\userinit.exe"""
explorer.exe,"User Shell. Provides the GUI (Desktop, Taskbar). Spawns all user applications (Browser, Office, CMD).",Created by userinit.exe (Logs); Parent appears 'Non-existent' (Live Triage),One per interactive session,Logged-on User,Path=C:\Windows\explorer.exe; Spawns user apps,Parent is ACTIVE process; User=SYSTEM; Outbound C2 Beaconing; Spawning svchost.exe,"User=""*SYSTEM"" OR ParentImage!=""*\\userinit.exe"""
LogonUI.exe,Windows Logon User Interface. Provides the graphical UI for logging on.,inlogon.exe,One per active session,SYSTEM,Path=C:\Windows\System32\LogonUI.exe,Parent != winlogon.exe; Spawning unexpected child processes.,"ParentImage!=""*\\winlogon.exe"" OR Image!=""*\\System32\\LogonUI.exe"""
spoolsv.exe,Print Spooler. Manages print jobs and interaction with printers.,services.exe,One,SYSTEM,Print Spooler Service; Often exploited (PrintNightmare),Parent != services.exe; Spawning cmd.exe (Exploit behavior),"ParentImage!=""*\\services.exe"""
taskhostw.exe,Host Process for Windows Tasks. Hosts scheduled tasks implemented as DLLs.,svchost.exe / explorer.exe,Multiple,User / SYSTEM,Host Process for Windows Tasks,Spawning PowerShell/CMD (Persistence via Scheduled Task),"ParentImage!=""*\\svchost.exe"" AND ParentImage!=""*\\explorer.exe"""
